,Title,Release Date,Color,Genre,Language,Country,Rating,Lead Actor,Director Name,Lead Actor FB Likes,Cast FB Likes,Director FB Likes,Movie FB Likes,Score,Total Reviews,Duration,Gross Revenue,Budget,Z_Score,Softmax_Score
24,West Side Story,03-05-1961,Color,Crime,English,USA,Unrated,Rita Moreno,Jerome Robbins,804.0,1802,34,0,7.6,120.0,152.0,43650000,6000000,0.7792207792207791,0.0005280934301066412
25,Dr. No,27-11-1962,Color,Action,English,UK,Approved,Ursula Andress,Terence Young,650.0,1421,92,5000,7.3,184.0,110.0,16067035,1100000,0.7402597402597401,0.0003912212352453071
26,Lawrence of Arabia,11-10-1962,Color,Adventure,English,UK,PG,Claude Rains,David Lean,607.0,1076,767,11000,8.4,181.0,227.0,6000000,15000000,0.8831168831168831,0.001175293542770307
27,Cleopatra,14-12-1963,Color,Biography,English,UK,Approved,Martin Landau,Joseph L. Mankiewicz,940.0,2957,311,0,7.0,72.0,251.0,57750000,31115000,0.7012987012987012,0.0002898238193873322
28,From Russia with Love,24-11-1963,Color,Action,English,UK,Approved,Robert Shaw,Terence Young,559.0,1456,92,0,7.5,167.0,115.0,24800000,2000000,0.7662337662337662,0.0004778386957794468
29,"It's a Mad, Mad, Mad, Mad World",27-11-1963,Color,Action,English,USA,Approved,Jonathan Winters,Stanley Kramer,924.0,4109,176,0,7.6,61.0,197.0,46300000,9400000,0.7792207792207791,0.0005280934301066412
30,A Fistful of Dollars,13-01-1964,Color,Action,Italian,Italy,R,Clint Eastwood,Sergio Leone,16000.0,16534,0,0,8.0,122.0,99.0,3500000,200000,0.8311688311688311,0.0007878228216951816
31,A Hard Day's Night,22-05-1964,Black and White,Comedy,English,UK,Approved,Paul McCartney,Richard Lester,785.0,2538,44,0,7.7,105.0,87.0,515005,560000,0.792207792207792,0.0005836335009806748
32,Goldfinger,29-05-1964,Color,Action,English,UK,Approved,Honor Blackman,Guy Hamilton,387.0,1198,82,0,7.8,164.0,110.0,51100000,3000000,0.805194805194805,0.0006450147720985165
33,Mary Poppins,21-03-1964,Color,Comedy,English,USA,Approved,Ed Wynn,Robert Stevenson,382.0,2045,55,0,7.8,145.0,139.0,102300000,6000000,0.805194805194805,0.0006450147720985165
34,My Fair Lady,15-07-1964,Color,Drama,English,USA,Approved,Jeremy Brett,George Cukor,453.0,1164,165,0,7.9,82.0,170.0,72000000,17000000,0.8181818181818181,0.0007128515678524725
35,Nothing But a Man,09-04-1964,Black and White,Drama,English,USA,Not Rated,Yaphet Kotto,Michael Roemer,581.0,835,0,363,8.1,24.0,95.0,12438,160000,0.844155844155844,0.0008706788711338108
36,Doctor Zhivago,29-06-1965,Color,Drama,English,USA,PG-13,Julie Christie,David Lean,597.0,1966,767,7000,8.0,89.0,200.0,111722000,11000000,0.8311688311688311,0.0007878228216951816
37,Major Dundee,25-11-1965,Color,Adventure,English,USA,Approved,James Coburn,Sam Peckinpah,773.0,2888,541,251,6.8,53.0,152.0,14873,3800000,0.6753246753246751,0.00023728767390692747
38,The Greatest Story Ever Told,18-04-1965,Color,Biography,English,USA,G,Martin Landau,George Stevens,940.0,1934,126,1000,6.6,27.0,225.0,8000000,20000000,0.6493506493506492,0.0001942747159539413
39,The Sound of Music,18-07-1965,Color,Biography,English,USA,G,Eleanor Parker,Robert Wise,354.0,1495,338,15000,8.0,119.0,174.0,163214286,8200000,0.8311688311688311,0.0007878228216951816
40,Thunderball,28-04-1965,Color,Action,English,UK,Approved,Desmond Llewelyn,Terence Young,244.0,1164,92,0,7.0,129.0,130.0,63600000,9000000,0.7012987012987012,0.0002898238193873322
41,"The Good, the Bad and the Ugly",25-06-1966,Color,Western,Italian,Italy,Approved,Clint Eastwood,Sergio Leone,16000.0,16089,0,20000,8.9,181.0,142.0,6100000,1200000,0.948051948051948,0.001937731463281916
42,You Only Live Twice,23-02-1967,Color,Action,English,UK,Approved,Donald Pleasence,Lewis Gilbert,742.0,2127,43,0,6.9,130.0,117.0,43100000,9500000,0.6883116883116883,0.00026224343641975407
43,2001: A Space Odyssey,12-07-1968,Color,Adventure,English,UK,G,Keir Dullea,Stanley Kubrick,273.0,727,0,24000,8.3,285.0,161.0,56715371,12000000,0.8701298701298702,0.0010634495746746208
44,Oliver!,19-08-1968,Color,Drama,English,UK,G,Oliver Reed,Carol Reed,695.0,1593,82,0,7.5,56.0,153.0,16800000,10000000,0.7662337662337662,0.0004778386957794468
45,Butch Cassidy and the Sundance Kid,25-11-1969,Color,Biography,English,USA,M,Katharine Ross,George Roy Hill,640.0,2169,131,0,8.1,130.0,110.0,102308900,6000000,0.844155844155844,0.0008706788711338108
46,Mississippi Mermaid,13-10-1969,Color,Crime,French,France,R,Catherine Deneuve,FranÃ§ois Truffaut,963.0,1694,0,278,7.2,35.0,123.0,26893,1600000,0.7272727272727271,0.00035399161238020254
47,On Her Majesty's Secret Service,30-01-1969,Color,Action,English,UK,M,Telly Savalas,Peter R. Hunt,803.0,1769,13,0,6.8,143.0,142.0,22800000,7000000,0.6753246753246751,0.00023728767390692747
48,Beyond the Valley of the Dolls,16-04-1970,Color,Comedy,English,USA,X,Charles Napier,Russ Meyer,503.0,731,199,0,6.2,101.0,109.0,9000000,900000,0.5974025974025973,0.00013022623654180673
49,Darling Lili,16-11-1970,Color,Comedy,English,USA,G,Rock Hudson,Blake Edwards,638.0,788,688,104,6.2,22.0,143.0,5000000,25000000,0.5974025974025973,0.00013022623654180673
50,Tora! Tora! Tora!,23-06-1970,Color,Action,English,Japan,G,Joseph Cotten,Richard Fleischer,469.0,1548,130,0,7.5,79.0,160.0,14500000,25000000,0.7662337662337662,0.0004778386957794468
51,Woodstock,25-08-1970,Color,Documentary,English,USA,R,Joe Cocker,Michael Wadleigh,262.0,778,14,0,8.1,53.0,215.0,13300000,600000,0.844155844155844,0.0008706788711338108
52,Diamonds Are Forever,03-09-1971,Color,Action,English,UK,GP,Desmond Llewelyn,Guy Hamilton,244.0,1105,82,0,6.7,120.0,120.0,43800000,7200000,0.6623376623376622,0.00021470676618970307
53,Fiddler on the Roof,12-04-1971,Color,Drama,English,USA,G,Topol,Norman Jewison,402.0,934,278,0,8.0,66.0,181.0,50000000,9000000,0.8311688311688311,0.0007878228216951816
54,Pink Narcissus,30-05-1971,Color,Drama,English,USA,Not Rated,Don Brooks,James Bidgood,0.0,0,0,85,6.7,8.0,65.0,8231,27000,0.6623376623376622,0.00021470676618970307
55,Sweet Sweetback's Baadasssss Song,03-05-1971,Color,Crime,English,USA,R,John Amos,Melvin Van Peebles,982.0,1631,101,566,5.5,38.0,97.0,15180000,500000,0.5064935064935064,6.466843523472504e-05
56,Pink Flamingos,16-06-1972,Color,Comedy,English,USA,NC-17,Divine,John Waters,462.0,760,0,0,6.1,73.0,108.0,180483,10000,0.5844155844155844,0.00011783357163302848
57,The Godfather,22-02-1972,Color,Crime,English,USA,R,Al Pacino,Francis Ford Coppola,14000.0,28122,0,43000,9.2,208.0,175.0,134821952,6000000,0.9870129870129868,0.002615663882428228
58,American Graffiti,13-06-1973,Color,Comedy,English,USA,PG,Harrison Ford,George Lucas,11000.0,14954,0,0,7.5,100.0,112.0,115000000,777000,0.7662337662337662,0.0004778386957794468
59,Live and Let Die,09-08-1973,Color,Action,English,UK,PG,Yaphet Kotto,Guy Hamilton,581.0,1865,82,0,6.8,136.0,121.0,35400000,7000000,0.6753246753246751,0.00023728767390692747
60,Mean Streets,30-10-1973,Color,Crime,English,USA,R,Robert De Niro,Martin Scorsese,22000.0,23737,17000,0,7.4,112.0,112.0,32645,500000,0.7532467532467533,0.0004323663317267452
61,The Exorcist,18-11-1973,Color,Horror,English,USA,R,Ellen Burstyn,William Friedkin,1000.0,2466,607,18000,8.0,304.0,132.0,204565000,8000000,0.8311688311688311,0.0007878228216951816
62,The Sting,04-09-1973,Color,Comedy,English,USA,PG,Eileen Brennan,George Roy Hill,1000.0,2387,131,0,8.3,119.0,129.0,159600000,5500000,0.8701298701298702,0.0010634495746746208
63,Benji,21-08-1974,Color,Adventure,English,USA,G,Frances Bavier,Joe Camp,407.0,1090,24,816,6.1,5.0,86.0,39552600,500000,0.5844155844155844,0.00011783357163302848
64,Blazing Saddles,01-03-1974,Color,Comedy,English,USA,R,Madeline Kahn,Mel Brooks,1000.0,4701,0,12000,7.8,121.0,93.0,119500000,2600000,0.805194805194805,0.0006450147720985165
65,The Godfather: Part II,13-04-1974,Color,Crime,English,USA,R,Robert De Niro,Francis Ford Coppola,22000.0,39960,0,14000,9.0,149.0,220.0,57300000,13000000,0.9610389610389609,0.0021415244602593425
66,The Man with the Golden Gun,28-02-1974,Color,Action,English,UK,PG,Christopher Lee,Guy Hamilton,16000.0,17611,82,2000,6.8,118.0,125.0,21000000,13000000,0.6753246753246751,0.00023728767390692747
67,The Texas Chain Saw Massacre,12-04-1974,Color,Horror,English,USA,R,Gunnar Hansen,Tobe Hooper,383.0,1094,365,0,7.5,277.0,88.0,30859000,83532,0.7662337662337662,0.0004778386957794468
68,Young Frankenstein,17-06-1974,Black and White,Comedy,English,USA,PG,Madeline Kahn,Mel Brooks,1000.0,2703,0,14000,8.0,129.0,106.0,86300000,2800000,0.8311688311688311,0.0007878228216951816
69,Jaws,16-02-1975,Color,Adventure,English,USA,PG,Roy Scheider,Steven Spielberg,813.0,2047,14000,21000,8.0,385.0,130.0,260000000,8000000,0.8311688311688311,0.0007878228216951816
70,Monty Python and the Holy Grail,21-06-1975,Color,Adventure,English,UK,PG,Eric Idle,Terry Gilliam,795.0,2158,0,14000,8.3,131.0,91.0,1229197,229575,0.8701298701298702,0.0010634495746746208
71,One Flew Over the Cuckoo's Nest,30-05-1975,Color,Drama,English,USA,R,Scatman Crothers,Milos Forman,888.0,2176,869,32000,8.7,149.0,133.0,112000000,4400000,0.9220779220779219,0.0015864803401957012
72,Logan's Run,05-10-1976,Color,Action,English,USA,PG,Farrah Fawcett,Michael Anderson,1000.0,2951,23,0,6.8,112.0,119.0,25000000,9000000,0.6753246753246751,0.00023728767390692747
73,Rocky,16-11-1976,Color,Drama,English,USA,PG,Sylvester Stallone,John G. Avildsen,13000.0,16094,80,0,8.1,141.0,145.0,117235247,960000,0.844155844155844,0.0008706788711338108
74,A Bridge Too Far,21-08-1977,Black and White,Drama,English,USA,PG,Ryan O'Neal,Richard Attenborough,385.0,669,0,0,7.4,56.0,175.0,50800000,26000000,0.7532467532467533,0.0004323663317267452
75,Annie Hall,17-05-1977,Color,Comedy,English,USA,PG,Woody Allen,Woody Allen,11000.0,12691,11000,0,8.1,154.0,93.0,39200000,4000000,0.844155844155844,0.0008706788711338108
76,Close Encounters of the Third Kind,11-12-1977,Color,Drama,English,USA,PG,Bob Balaban,Steven Spielberg,559.0,1591,14000,0,7.7,171.0,135.0,128300000,19400870,0.792207792207792,0.0005836335009806748
77,Kingdom of the Spiders,02-01-1977,Color,Horror,English,USA,PG,Woody Strode,John 'Bud' Cardos,423.0,516,8,0,5.9,95.0,97.0,17000000,500000,0.5584415584415584,9.647396884097779e-05
78,March or Die,28-05-1977,Color,Adventure,English,UK,PG,Catherine Deneuve,Dick Richards,963.0,2209,6,122,6.3,6.0,107.0,1000000,9000000,0.6103896103896103,0.00014392224939644498
79,Star Wars: Episode IV - A New Hope,07-02-1977,Color,Action,English,USA,PG,Harrison Ford,George Lucas,11000.0,13485,0,33000,8.7,282.0,125.0,460935665,11000000,0.9220779220779219,0.0015864803401957012
80,The Spy Who Loved Me,01-08-1977,Color,Action,English,UK,PG,Caroline Munro,Lewis Gilbert,456.0,1326,43,0,7.1,112.0,123.0,46800000,14000000,0.7142857142857142,0.00032030485655248854
81,Animal House,06-09-1978,Color,Comedy,English,USA,R,John Belushi,John Landis,1000.0,3468,644,0,7.6,94.0,109.0,141600000,3000000,0.7792207792207791,0.0005280934301066412
82,Caravans,17-04-1978,Color,Action,English,Iran,PG,Christopher Lee,James Fargo,16000.0,17250,109,76,6.5,2.0,127.0,1000000,14000000,0.6363636363636364,0.00017578703237343372
83,Grease,18-08-1978,Color,Musical,English,USA,PG-13,Olivia Newton-John,Randal Kleiser,1000.0,5127,116,13000,7.2,124.0,110.0,181360000,6000000,0.7272727272727271,0.00035399161238020254
84,Halloween,27-08-1978,Color,Horror,English,USA,R,Jamie Lee Curtis,John Carpenter,2000.0,4400,0,12000,7.9,318.0,101.0,47000000,300000,0.8181818181818181,0.0007128515678524725
85,Jaws 2,06-06-1978,Color,Adventure,English,USA,PG,Roy Scheider,Jeannot Szwarc,813.0,1520,82,0,5.7,75.0,131.0,102922376,20000000,0.5324675324675323,7.89862051615955e-05
86,Superman,10-05-1978,Color,Action,English,USA,PG,Marlon Brando,Richard Donner,10000.0,12940,503,0,7.3,169.0,188.0,134218018,55000000,0.7402597402597401,0.0003912212352453071
87,The Wiz,17-07-1978,Color,Adventure,English,USA,G,Lena Horne,Sidney Lumet,738.0,1458,0,0,5.2,32.0,118.0,13000000,24000000,0.46753246753246747,4.7907555124859926e-05
88,Alien,03-10-1979,Color,Horror,English,UK,R,Tom Skerritt,Ridley Scott,1000.0,2524,0,23000,8.5,392.0,116.0,78900000,11000000,0.8961038961038961,0.0012989002436718403
89,Apocalypse Now,08-09-1979,Color,Drama,English,USA,R,Harrison Ford,Francis Ford Coppola,11000.0,25313,0,19000,8.5,261.0,289.0,78800000,31500000,0.8961038961038961,0.0012989002436718403
90,Escape from Alcatraz,05-05-1979,Color,Biography,English,USA,PG,Clint Eastwood,Don Siegel,16000.0,17568,152,0,7.6,53.0,112.0,36500000,8000000,0.7792207792207791,0.0005280934301066412
91,Moonraker,23-09-1979,Color,Action,English,UK,PG,Desmond Llewelyn,Lewis Gilbert,244.0,1008,43,0,6.3,121.0,126.0,62700000,34000000,0.6103896103896103,0.00014392224939644498
92,Star Trek: The Motion Picture,02-11-1979,Color,Adventure,English,USA,PG,Leonard Nimoy,Robert Wise,12000.0,16007,338,0,6.4,134.0,143.0,82300000,35000000,0.6233766233766234,0.00015905868449698146
93,The Rose,08-05-1979,Color,Drama,English,USA,R,David Keith,Mark Rydell,563.0,1097,43,1000,6.9,32.0,125.0,29200000,8500000,0.6883116883116883,0.00026224343641975407
94,Airplane!,09-07-1980,Color,Comedy,English,USA,PG,Peter Graves,Jim Abrahams,628.0,2726,104,16000,7.8,134.0,88.0,83400000,3500000,0.805194805194805,0.0006450147720985165
95,Caddyshack,13-10-1980,Color,Comedy,English,USA,R,Bill Murray,Harold Ramis,13000.0,14921,11000,0,7.4,71.0,98.0,39800000,6000000,0.7532467532467533,0.0004323663317267452
96,Can't Stop the Music,10-11-1980,Color,Biography,English,USA,PG,Steve Guttenberg,Nancy Walker,801.0,1462,42,1000,4.5,26.0,124.0,2000000,20000000,0.3766233766233766,2.3790187815582257e-05
97,Dressed to Kill,16-06-1980,Color,Mystery,English,USA,X,Angie Dickinson,Brian De Palma,754.0,2442,0,0,7.1,121.0,104.0,31899000,6500000,0.7142857142857142,0.00032030485655248854
98,Heaven's Gate,10-02-1980,Color,Adventure,English,USA,R,Jeff Bridges,Michael Cimino,12000.0,14255,517,1000,6.8,102.0,325.0,1500000,44000000,0.6753246753246751,0.00023728767390692747
99,Ordinary People,21-02-1980,Color,Drama,English,USA,R,Adam Baldwin,Robert Redford,2000.0,5122,0,0,7.8,62.0,124.0,54800000,6000000,0.805194805194805,0.0006450147720985165
100,Private Benjamin,10-07-1980,Color,Comedy,English,USA,R,Eileen Brennan,Howard Zieff,1000.0,2419,6,855,6.1,25.0,109.0,69800000,10000000,0.5844155844155844,0.00011783357163302848
101,Raging Bull,28-07-1980,Black and White,Biography,English,USA,R,Robert De Niro,Martin Scorsese,22000.0,23008,17000,0,8.3,151.0,121.0,45250,18000000,0.8701298701298702,0.0010634495746746208
102,Raise the Titanic,16-09-1980,Color,Action,English,UK,PG,M. Emmet Walsh,Jerry Jameson,521.0,1883,5,328,4.7,32.0,119.0,7000000,36000000,0.40259740259740256,2.9057401015100643e-05
103,Star Wars: Episode V - The Empire Strikes Back,20-04-1980,Color,Action,English,USA,PG,Harrison Ford,Irvin Kershner,11000.0,12643,883,17000,8.8,223.0,127.0,290158751,18000000,0.935064935064935,0.0017533319340830513
104,Superman II,13-10-1980,Color,Action,English,USA,PG,Margot Kidder,Richard Lester,593.0,2908,44,0,6.8,121.0,116.0,108200000,54000000,0.6753246753246751,0.00023728767390692747
105,The Blues Brothers,17-08-1980,Color,Action,English,USA,R,John Belushi,John Landis,1000.0,2566,644,14000,7.9,125.0,148.0,54200000,27000000,0.8181818181818181,0.0007128515678524725
106,The Fog,09-08-1980,Color,Fantasy,English,USA,R,Jamie Lee Curtis,John Carpenter,2000.0,4877,0,7000,6.8,212.0,89.0,21378000,1000000,0.6753246753246751,0.00023728767390692747
107,Chariots of Fire,07-08-1981,Color,Biography,English,UK,PG,Alice Krige,Hugh Hudson,368.0,1651,46,0,7.2,90.0,125.0,58800000,5500000,0.7272727272727271,0.00035399161238020254
108,Das Boot,03-07-1981,Color,Adventure,German,West Germany,R,JÃ¼rgen Prochnow,Wolfgang Petersen,362.0,469,249,11000,8.4,96.0,293.0,11433134,14000000,0.8831168831168831,0.001175293542770307
109,Dragonslayer,29-04-1981,Color,Action,English,USA,PG,Ian McDiarmid,Matthew Robbins,1000.0,1263,25,0,6.7,60.0,108.0,6000000,18000000,0.6623376623376622,0.00021470676618970307
110,Escape from New York,28-09-1981,Color,Action,English,UK,R,Donald Pleasence,John Carpenter,742.0,2270,0,0,7.2,201.0,106.0,25244700,6000000,0.7272727272727271,0.00035399161238020254
111,For Your Eyes Only,18-03-1981,Color,Action,English,UK,PG,Julian Glover,John Glen,844.0,2118,46,2000,6.8,112.0,127.0,62300000,28000000,0.6753246753246751,0.00023728767390692747
112,Friday the 13th Part 2,09-01-1981,Color,Horror,English,USA,R,Betsy Palmer,Steve Miner,309.0,707,49,0,6.1,242.0,87.0,19100000,1250000,0.5844155844155844,0.00011783357163302848
113,Mad Max 2: The Road Warrior,11-09-1981,Black and White,Action,English,Australia,R,Vernon Wells,George Miller,745.0,1396,750,0,7.6,177.0,87.0,9003011,2000000,0.7792207792207791,0.0005280934301066412
114,Porky's,07-07-1981,Color,Comedy,English,Canada,R,Art Hindle,Bob Clark,110.0,582,84,0,6.2,75.0,94.0,105500000,4000000,0.5974025974025973,0.00013022623654180673
115,Raiders of the Lost Ark,16-05-1981,Color,Action,English,USA,PG,Harrison Ford,Steven Spielberg,11000.0,12906,14000,16000,8.5,234.0,115.0,242374454,18000000,0.8961038961038961,0.0012989002436718403
116,Roar,10-08-1981,Color,Adventure,English,USA,PG,Tippi Hedren,Noel Marshall,634.0,1262,4,0,6.4,50.0,102.0,2000000,17000000,0.6233766233766234,0.00015905868449698146
117,Sphinx,13-05-1981,Color,Adventure,English,USA,PG,Frank Langella,Franklin J. Schaffner,902.0,2079,76,106,5.2,2.0,118.0,800000,14000000,0.46753246753246747,4.7907555124859926e-05
118,Stripes,09-11-1981,Color,Action,English,USA,R,Bill Murray,Ivan Reitman,13000.0,27378,425,0,6.9,52.0,117.0,85300000,10000000,0.6883116883116883,0.00026224343641975407
119,The Beyond,07-12-1981,Black and White,Horror,Italian,Italy,X,Catriona MacColl,Lucio Fulci,48.0,123,385,2000,6.9,203.0,82.0,126387,400000,0.6883116883116883,0.00026224343641975407
120,The Howling,15-06-1981,Color,Horror,English,USA,R,Patrick Macnee,Joe Dante,1000.0,4438,287,0,6.6,161.0,91.0,17986000,1000000,0.6493506493506492,0.0001942747159539413
121,The Legend of the Lone Ranger,28-01-1981,Color,Action,English,USA,PG,Jason Robards,William A. Fraker,372.0,927,28,346,5.0,25.0,98.0,8000000,18000000,0.4415584415584415,3.922338868550149e-05
122,Time Bandits,04-04-1981,Color,Adventure,English,UK,PG,Shelley Duvall,Terry Gilliam,629.0,2730,0,0,7.0,139.0,103.0,42365600,5000000,0.7012987012987012,0.0002898238193873322
123,Under the Rainbow,09-07-1981,Color,Comedy,English,USA,PG,Mako,Steve Rash,691.0,1761,15,501,5.4,13.0,98.0,8500000,20000000,0.49350649350649345,5.85144199662143e-05
124,Blade Runner,09-12-1982,Color,Sci-Fi,English,USA,R,Harrison Ford,Ridley Scott,11000.0,13877,0,34000,8.2,302.0,117.0,27000000,28000000,0.857142857142857,0.0009622489673600217
125,Conan the Barbarian,12-08-1982,Color,Adventure,English,USA,R,William Smith,John Milius,919.0,2024,468,0,6.9,166.0,129.0,37567440,20000000,0.6883116883116883,0.00026224343641975407
126,Diner,27-04-1982,Color,Comedy,English,USA,R,Steve Guttenberg,Barry Levinson,801.0,2943,272,0,7.2,42.0,110.0,14100000,5000000,0.7272727272727271,0.00035399161238020254
127,E.T. the Extra-Terrestrial,24-10-1982,Color,Family,English,USA,PG,Henry Thomas,Steven Spielberg,861.0,2811,14000,34000,7.9,215.0,120.0,434949459,10500000,0.8181818181818181,0.0007128515678524725
128,Firefox,07-07-1982,Color,Action,English,USA,PG,Clint Eastwood,Clint Eastwood,16000.0,16805,16000,0,5.9,43.0,136.0,46700000,21000000,0.5584415584415584,9.647396884097779e-05
129,Friday the 13th Part III,23-01-1982,Color,Horror,English,USA,R,Richard Brooker,Steve Miner,72.0,174,49,0,5.7,235.0,91.0,36200000,4000000,0.5324675324675323,7.89862051615955e-05
130,Halloween III: Season of the Witch,30-06-1982,Color,Horror,English,USA,R,Tom Atkins,Tommy Lee Wallace,381.0,684,24,0,4.6,162.0,98.0,14400000,2500000,0.3896103896103895,2.6292223709339124e-05
131,Megaforce,02-03-1982,Color,Action,English,USA,PG,Barry Bostwick,Hal Needham,456.0,1356,379,0,3.5,40.0,99.0,5333658,20000000,0.2467532467532467,8.751920998960058e-06
132,Poltergeist,16-07-1982,Color,Fantasy,English,USA,PG,Heather O'Rourke,Tobe Hooper,887.0,3876,365,11000,7.4,223.0,120.0,76600000,10700000,0.7532467532467533,0.0004323663317267452
133,Star Trek II: The Wrath of Khan,05-12-1982,Color,Action,English,USA,PG,Leonard Nimoy,Nicholas Meyer,12000.0,16539,120,0,7.7,148.0,116.0,78900000,11000000,0.792207792207792,0.0005836335009806748
134,The Best Little Whorehouse in Texas,02-12-1982,Color,Comedy,English,USA,R,Dolly Parton,Colin Higgins,1000.0,3688,19,0,5.8,11.0,114.0,69700000,35000000,0.5454545454545453,8.729325687375192e-05
135,The Thing,24-02-1982,Color,Horror,English,USA,R,Wilford Brimley,John Carpenter,957.0,1757,0,23000,8.2,297.0,109.0,13782838,15000000,0.857142857142857,0.0009622489673600217
